"seg_id","waterbody","huc_10","basin_name","class","water_type","segment_assessment","use","use_assessment","parameter","grandfathered_from_listings","data_supported","stayCALM_param_eval"
"0404-0039","Loon Lake",413000209,"Genesee River","b","pond","IR3_needs-verification","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0404-0039","Loon Lake",413000209,"Genesee River","b","pond","IR3_needs-verification","fishing","IR3_fully-supported_unconfirmed","nitrite","no","yes","fully-supported_unconfirmed"
"0404-0039","Loon Lake",413000209,"Genesee River","b","pond","IR3_needs-verification","primary_contact_recreation","IR1_fully-supported_confirmed","phosphorus","no","yes","fully-supported_confirmed"
"0404-0039","Loon Lake",413000209,"Genesee River","b","pond","IR3_needs-verification","secondary_contact_recreation","IR1_fully-supported_confirmed","phosphorus","no","yes","fully-supported_confirmed"
"0404-0039","Loon Lake",413000209,"Genesee River","b","pond","IR3_needs-verification","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0404-0039","Loon Lake",413000209,"Genesee River","b","pond","IR3_needs-verification","source_of_water_supply","not-applicable","not-applicable","no","yes","not-applicable"
"0502-0001","Lamoka Lake and Mill Pond",205010503,"Chemung River","a","pond","IR5_impaired","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0502-0001","Lamoka Lake and Mill Pond",205010503,"Chemung River","a","pond","IR5_impaired","fishing","IR5_impaired_confirmed","dissolved_oxygen","yes","no","impaired_unconfirmed"
"0502-0001","Lamoka Lake and Mill Pond",205010503,"Chemung River","a","pond","IR5_impaired","primary_contact_recreation","IR3_impaired_unconfirmed","dissolved_oxygen; phosphorus","no","yes","impaired_unconfirmed"
"0502-0001","Lamoka Lake and Mill Pond",205010503,"Chemung River","a","pond","IR5_impaired","secondary_contact_recreation","IR5_impaired_confirmed","dissolved_oxygen","yes","no","impaired_unconfirmed"
"0502-0001","Lamoka Lake and Mill Pond",205010503,"Chemung River","a","pond","IR5_impaired","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0502-0001","Lamoka Lake and Mill Pond",205010503,"Chemung River","a","pond","IR5_impaired","source_of_water_supply","IR3_impaired_unconfirmed","dissolved_oxygen; iron; manganese","no","yes","impaired_unconfirmed"
"0502-0002","Waneta Lake",205010503,"Chemung River","a","pond","IR5_impaired","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0502-0002","Waneta Lake",205010503,"Chemung River","a","pond","IR5_impaired","fishing","IR5_impaired_confirmed","dissolved_oxygen","yes","no","impaired_unconfirmed"
"0502-0002","Waneta Lake",205010503,"Chemung River","a","pond","IR5_impaired","primary_contact_recreation","IR5_impaired_confirmed","phosphorus","no","yes","impaired-pollutant_confirmed"
"0502-0002","Waneta Lake",205010503,"Chemung River","a","pond","IR5_impaired","secondary_contact_recreation","IR5_impaired_confirmed","dissolved_oxygen; phosphorus","no","yes","impaired-pollutant_confirmed"
"0502-0002","Waneta Lake",205010503,"Chemung River","a","pond","IR5_impaired","secondary_contact_recreation","IR5_impaired_confirmed","dissolved_oxygen; phosphorus","yes","no","impaired_unconfirmed"
"0502-0002","Waneta Lake",205010503,"Chemung River","a","pond","IR5_impaired","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0502-0002","Waneta Lake",205010503,"Chemung River","a","pond","IR5_impaired","source_of_water_supply","IR3_impaired_unconfirmed","dissolved_oxygen; iron; manganese","no","yes","impaired_unconfirmed"
